category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,43,3.511627906976744,1.0465116279069768,0.6068097643097642,0.6671969696969696,0.3210500926553214,0.7815514917469212,1.6046511627906976,1.558139534883721
regression,6,3.6666666666666665,1.1666666666666667,0.5319047619047619,0.6785714285714285,0.42518224417565476,0.7678123204644279,1.8333333333333333,1.8333333333333333
recovery,10,3.2,1.0,0.4309523809523809,0.38240740740740736,0.3161311040230023,0.810252712211486,2.0,1.8
neither,20,3.45,1.15,0.43529411764705883,0.5752777777777777,0.3234285916734288,0.8631078511895138,1.45,1.1
