category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,34,3.588235294117647,1.0588235294117647,0.7112654320987654,0.6403508771929824,0.3509362170698943,0.8694668302204981,1.3235294117647058,1.0
regression,3,3.0,1.0,0.6666666666666666,0.4666666666666667,0.1728395061728395,0.7985543224299065,0.3333333333333333,0.6666666666666666
recovery,5,4.0,1.0,0.35,0.4777777777777778,0.2752961144670279,0.7975559985664349,2.2,2.0
neither,28,3.107142857142857,1.0357142857142858,0.43746031746031744,0.5003968253968253,0.3537727025200716,0.8038137184525586,1.5357142857142858,1.4642857142857142
