category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,19,3.3157894736842106,1.0,0.6596825396825398,0.7620555555555556,0.33065122412959175,0.8367161271613411,2.0,1.5789473684210527
regression,5,3.8,1.2,0.585,0.25,0.24787175347040497,0.7894736842105263,1.4,0.2
recovery,5,3.4,1.0,0.6875,0.45999999999999996,0.2689746708536461,0.86581947985106,0.8,2.0
neither,21,3.0,1.0476190476190477,0.5517156862745098,0.5097222222222222,0.31334820932026164,0.8559633441364698,1.8095238095238095,1.5238095238095237
