category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,40,3.425,1.025,0.7084635416666667,0.6808333333333334,0.3352352622633335,0.8480372447460383,1.525,1.475
regression,4,3.5,1.0,0.47500000000000003,0.4666666666666666,0.51814362734952,0.8328529625092468,1.75,1.0
recovery,8,3.625,1.125,0.6277777777777778,0.4732142857142857,0.2701080878485658,0.7290094166880497,1.125,1.375
neither,25,3.24,1.04,0.5195238095238095,0.42111111111111116,0.33533835205622997,0.7722977416729366,1.36,1.04
