category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,43,3.511627906976744,1.0930232558139534,0.6635483870967742,0.6794956140350877,0.3356143276238561,0.8072647201873531,1.4186046511627908,1.7674418604651163
regression,9,3.0,1.0,0.4690476190476191,0.33333333333333337,0.3283350695542465,0.8324791860652155,1.3333333333333333,1.1111111111111112
recovery,3,4.0,1.0,0.6666666666666666,0.6333333333333333,0.27468944099378884,0.8620461036311708,0.6666666666666666,1.3333333333333333
neither,28,3.5357142857142856,1.0357142857142858,0.4879678362573099,0.4215277777777777,0.3202714483938437,0.7800069944659139,1.5357142857142858,1.2142857142857142
