category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,36,3.4444444444444446,1.0555555555555556,0.6556481481481483,0.6285555555555554,0.3582752902531105,0.8145463808805508,1.6388888888888888,1.5555555555555556
regression,8,3.75,1.0,0.5261904761904762,0.3375,0.3073779666785391,0.8559606929216745,1.75,1.125
recovery,4,2.75,1.0,0.7666666666666666,0.49999999999999994,0.4376875776271048,0.8280698853615519,0.75,1.25
neither,35,3.085714285714286,1.0285714285714285,0.5522222222222223,0.4662393162393163,0.314414869410961,0.7555262449080662,1.4857142857142858,1.2
