category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,44,3.6363636363636362,1.0909090909090908,0.6570752895752896,0.6517424242424242,0.3329087935598285,0.764139961625828,1.8863636363636365,1.7045454545454546
regression,6,3.1666666666666665,1.0,0.41527777777777775,0.45,0.3049069900529518,0.9283172951034303,1.5,0.5
recovery,8,3.25,1.0,0.2033333333333333,0.4883333333333333,0.2929111254111254,0.7024524129683727,0.75,1.25
neither,19,3.473684210526316,1.0,0.46845238095238095,0.39177777777777767,0.3389847489216004,0.7854734597660546,1.4210526315789473,1.5789473684210527
