category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,35,3.5142857142857142,1.0857142857142856,0.6481417624521073,0.6346924603174603,0.29376488359185193,0.7885487051554633,1.7142857142857142,1.7714285714285714
regression,10,3.5,1.1,0.394047619047619,0.42777777777777776,0.3622366405133953,0.817934607031331,1.6,0.7
recovery,3,4.0,1.0,0.6000000000000001,0.6844444444444444,0.22569414498763607,0.8864405244858737,1.3333333333333333,2.3333333333333335
neither,23,3.0434782608695654,1.0,0.4634027777777778,0.44901960784313727,0.3145778692522067,0.7959344308440114,1.434782608695652,1.2173913043478262
