category,n,mean_n_train,mean_n_test,mean_phase1_buggy,mean_phase1_fixed,mean_overlap_buggy,mean_overlap_fixed,mean_n_refined_buggy,mean_n_refined_fixed
both,42,3.6904761904761907,1.0714285714285714,0.7027539682539683,0.6841954022988506,0.32777407353103677,0.840833999298006,1.8095238095238095,1.5952380952380953
regression,8,3.25,1.0,0.6607142857142857,0.6986111111111111,0.2959623424055254,0.7502573860532564,1.5,1.5
recovery,2,4.0,1.5,0.13333333333333333,0.6,0.234375,0.9375,0.5,1.0
neither,21,3.0952380952380953,1.0476190476190477,0.4725,0.4038888888888889,0.3702054601673654,0.807353793548402,1.5714285714285714,1.1428571428571428
